,Match_Winner,HT_buildUpPlaySpeed,HT_buildUpPlayDribbling,HT_buildUpPlayPassing,HT_chanceCreationPassing,HT_chanceCreationCrossing,HT_chanceCreationShooting,HT_defencePressure,HT_defenceAggression,HT_defenceTeamWidth,AT_buildUpPlaySpeed,AT_buildUpPlayDribbling,AT_buildUpPlayPassing,AT_chanceCreationPassing,AT_chanceCreationCrossing,AT_chanceCreationShooting,AT_defencePressure,AT_defenceAggression,AT_defenceTeamWidth
0,1,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0
1,0,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0
2,1,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0
3,1,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0
4,1,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0
5,0,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0
6,0,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0
7,0,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0
8,1,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0
9,1,54.0,45.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0,60.0,47.0,53.0,48.0,50.0,48.0,42.0,48.0,49.0
10,0,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,42.0,52.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0
11,1,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0
12,1,52.0,42.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0,58.0,52.0,38.0,67.0,48.0,56.0,47.0,45.0,55.0
13,1,54.0,42.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0,42.0,40.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0
14,1,42.0,52.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0,54.0,45.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0
15,0,60.0,47.0,53.0,48.0,50.0,48.0,42.0,48.0,49.0,42.0,40.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0
16,1,62.0,45.0,52.0,42.0,50.0,62.0,45.0,52.0,52.0,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0
17,1,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,54.0,42.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0
18,1,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,53.0,49.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0
19,0,54.0,45.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0,54.0,42.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0
20,0,62.0,45.0,52.0,42.0,50.0,62.0,45.0,52.0,52.0,42.0,52.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0
21,1,42.0,40.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0
22,0,53.0,49.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0
23,0,52.0,46.0,51.0,60.0,53.0,47.0,60.0,50.0,65.0,54.0,45.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0
24,1,60.0,47.0,53.0,48.0,50.0,48.0,42.0,48.0,49.0,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0
25,0,54.0,42.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0,53.0,49.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0
26,0,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,52.0,42.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0
27,0,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,58.0,52.0,38.0,67.0,48.0,56.0,47.0,45.0,55.0
28,1,58.0,52.0,38.0,67.0,48.0,56.0,47.0,45.0,55.0,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0
29,1,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0
30,0,42.0,40.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,52.0,46.0,51.0,60.0,53.0,47.0,60.0,50.0,65.0
31,0,53.0,49.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0,54.0,45.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0
32,1,54.0,45.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0,52.0,42.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0
33,1,54.0,42.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0,58.0,52.0,38.0,67.0,48.0,56.0,47.0,45.0,55.0
34,0,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0
35,1,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0
36,0,53.0,49.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0,42.0,40.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0
37,0,58.0,52.0,38.0,67.0,48.0,56.0,47.0,45.0,55.0,54.0,45.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0
38,0,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,52.0,46.0,51.0,60.0,53.0,47.0,60.0,50.0,65.0
39,0,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0,54.0,42.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0
40,1,42.0,40.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0
41,1,42.0,40.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,54.0,42.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0
42,1,42.0,52.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0,38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0
43,1,58.0,52.0,38.0,67.0,48.0,56.0,47.0,45.0,55.0,52.0,42.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0
44,1,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,53.0,49.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0
45,1,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0,54.0,45.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0
46,1,60.0,47.0,53.0,48.0,50.0,48.0,42.0,48.0,49.0,52.0,46.0,51.0,60.0,53.0,47.0,60.0,50.0,65.0
